,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
493,EKC,EKC,INE184H01027,Listed,15-Dec-2005,Industrial Equipments,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Manufacturing
494,ELDEHSG,ELDEHSG,INE668G01021,Listed,12-Apr-2022,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
495,ELECON,ELECON,INE205B01023,Listed,29-Sep-2006,Industrial Equipments,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Manufacturing
496,ELECTCAST,ELECTCAST,INE086A01029,Listed,20-Jun-2003,Castings & Forgings,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
497,ELECTHERM,ELECTHERM,INE822G01016,Listed,20-Aug-2007,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
498,ELGIEQUIP,ELGIEQUIP,INE285A01027,Listed,22-Nov-1995,Compressors & Pumps,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Products
499,ELGIRUBCO,ELGIRUBCO,INE819L01012,Listed,10-Aug-2011,Rubber,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
500,EMAMILTD,EMAMILTD,INE548C01032,Listed,03-Aug-2006,Personal Care,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products
501,EMAMIPAP,EMAMIPAP,INE830C01026,Listed,30-May-2019,Paper & Paper Products,NA,Commodities,Forest Materials,Paper Forest & Jute Products
502,EMAMIREAL,EMAMIREAL,INE778K01012,Listed,28-Jul-2010,Residential Commercial Projects,NIFTY REALTY,Consumer Discretionary,Realty,Realty
503,EMBASSY,EMBASSY,INE041025011,Listed,01-Apr-2019,Real Estate Investment Trusts (REITs),NA,Consumer Discretionary,Realty,Realty
504,EMIL,EMIL,INE02YR01019,Listed,17-Oct-2022,Speciality Retail,NA,Consumer Discretionary,Consumer Services,Retailing
505,EMKAY,EMKAY,INE296H01011,Listed,28-Apr-2006,Stockbroking & Allied,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Capital Markets
506,EMKAYTOOLS,EMKAYTOOLS,INE332S01011,Listed,13-Aug-2015,Industrial Equipments,NA,Industrials,Capital Goods,Industrial Manufacturing
507,EMMBI,EMMBI,INE753K01015,Listed,24-Feb-2010,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
508,EMUDHRA,EMUDHRA,INE01QM01018,Listed,01-Jun-2022,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
509,ENDURANCE,ENDURANCE,INE913H01037,Listed,19-Oct-2016,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
510,ENERGYDEV,ENERGYDEV,INE306C01019,Listed,02-Nov-2007,Electric Utilities,NIFTY 500                                         ,Utilities,Power,Power
511,ENGINERSIN,ENGINERSIN,INE510A01028,Listed,20-Aug-1997,Engineering Designing & Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
512,ENIL,ENIL,INE265F01028,Listed,15-Feb-2006,Media & Entertainment,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Entertainment
