,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
1066,LASA,LASA,INE670X01014,Listed,21-Sep-2017,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1067,LATENTVIEW,LATENTVIEW,INE0I7C01011,Listed,23-Nov-2021,Computers - Software & Consulting,NA,Information Technology,Information Technology,IT - Software
1068,LATTEYS,LATTEYS,INE262Z01015,Listed,05-Jun-2018,Compressors & Pumps,NA,Industrials,Capital Goods,Industrial Products
1069,LAURUSLABS,LAURUSLABS,INE947Q01028,Listed,19-Dec-2016,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1070,LAXMICOT,LAXMICOT,INE801V01019,Listed,12-Nov-2021,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
1071,LAXMIMACH,LAXMIMACH,INE269B01029,Listed,29-Mar-1995,Industrial Machinery,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Manufacturing
1072,LCCINFOTEC,LCCINFOTEC,INE938A01021,Listed,02-Mar-2000,E-Learning,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Other Consumer Services
1073,LEMERITE,LEMERITE,INE0G1L01017,Listed,09-May-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
1074,LEMONTREE,LEMONTREE,INE970X01018,Listed,09-Apr-2018,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
1075,LEXUS,LEXUS,INE500X01013,Listed,23-Aug-2017,NA,NA,,,
1076,LFIC,LFIC,INE850E01012,Listed,15-Apr-2015,Investment Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1077,LGBBROSLTD,LGBBROSLTD,INE337A01034,Listed,30-Mar-2010,Auto Components & Equipments,NIFTY METAL                                       ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1078,LGBFORGE,LGBFORGE,INE201J01017,Listed,01-Aug-2008,Auto Components & Equipments,NIFTY 500                                         ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1079,LIBAS,LIBAS,INE908V01012,Listed,23-Jul-2019,Garments & Apparels,NA,Consumer Discretionary,Textiles,Textiles & Apparels
1080,LIBERTSHOE,LIBERTSHOE,INE557B01019,Listed,27-Sep-1995,Footwear,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1081,LICHSGFIN,LICHSGFIN,INE115A01026,Listed,29-Jul-1998,Housing Finance Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1082,LICI,LICI,INE0J1Y01017,Listed,17-May-2022,Life Insurance,NA,Financial Services,Financial Services,Insurance
1083,LICNETFGSC,LICNETFGSC,INF767K01MV5,Listed,01-Jan-2015,NA,NA,,,
1084,LICNETFN50,LICNETFN50,INF767K01OS7,Listed,30-Nov-2015,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1085,LICNETFSEN,LICNETFSEN,INF767K01OT5,Listed,07-Dec-2015,NA,NA,,,
1086,LICNFNHGP,LICNFNHGP,INF767K01PC8,Listed,28-Mar-2016,NA,NA,,,
1087,LIKHITHA,LIKHITHA,INE060901019,Listed,15-Oct-2020,Civil Construction,NA,Industrials,Construction,Construction
1088,LINC,LINC,INE802B01019,Listed,09-Mar-2015,Stationary,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products
1089,LINCOLN,LINCOLN,INE405C01035,Listed,17-Dec-2015,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1090,LINDEINDIA,LINDEINDIA,INE473A01011,Listed,16-Jun-1999,Industrial Gases,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
1091,LIQUIDBEES,LIQUIDBEES,INF732E01037,Listed,16-Jul-2003,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1092,LIQUIDETF,LIQUIDETF,INF740KA1EU7,Listed,20-Mar-2018,NA,NA,,,
1093,LLOYDS,LLOYDS,INE0DTQ01028,Listed,11-Oct-2022,Wellness,NA,Consumer Discretionary,Consumer Services,Leisure Services
1094,LODHA,LODHA,INE670K01029,Listed,19-Apr-2021,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
1095,LOKESHMACH,LOKESHMACH,INE397H01017,Listed,05-May-2006,Industrial Equipments,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Manufacturing
1096,LOTUSEYE,LOTUSEYE,INE947I01017,Listed,11-Jul-2008,Hospital,NIFTY PHARMA                                      ,Healthcare,Healthcare,Healthcare Services
1097,LOVABLE,LOVABLE,INE597L01014,Listed,24-Mar-2011,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1098,LOYALTEX,LOYALTEX,INE970D01010,Listed,11-Aug-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
1099,LPDC,LPDC,INE197J01017,Listed,12-Aug-2008,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
1100,LSIL,LSIL,INE093R01011,Listed,18-Jul-2016,Industrial Equipments,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Manufacturing
1101,LT,LT,INE018A01030,Listed,23-Jun-2004,Engineering Designing & Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1102,LTGILTBEES,LTGILTBEES,INF204KB1882,Listed,11-Jul-2016,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1103,LTI,LTI,INE214T01019,Listed,21-Jul-2016,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
1104,LTTS,LTTS,INE010V01017,Listed,23-Sep-2016,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
1105,LUMAXIND,LUMAXIND,INE162B01018,Listed,06-Sep-1995,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1106,LUMAXTECH,LUMAXTECH,INE872H01027,Listed,16-Jan-2007,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1107,LUPIN,LUPIN,INE326A01037,Listed,10-Sep-2001,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1108,LUXIND,LUXIND,INE150G01020,Listed,30-Nov-2015,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1109,LXCHEM,LXCHEM,INE576O01020,Listed,25-Mar-2021,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
1110,LYKALABS,LYKALABS,INE933A01014,Listed,08-Feb-1995,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1111,LYPSAGEMS,LYPSAGEMS,INE142K01011,Listed,05-Nov-2013,Gems Jewellery And Watches,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1112,M&M,,,,,,,,,
1113,M&MFIN,,,,,,,,,
1114,MAANALU,MAANALU,INE215I01019,Listed,22-Oct-2007,Aluminium,NIFTY METAL                                       ,Commodities,Metals & Mining,Non - Ferrous Metals
1115,MACPOWER,MACPOWER,INE155Z01011,Listed,19-Aug-2020,Industrial Equipments,NA,Industrials,Capital Goods,Industrial Manufacturing
1116,MADHAV,MADHAV,INE925C01016,Listed,20-Dec-2007,Furniture Home Furnishing Flooring,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1117,MADHUCON,MADHUCON,INE378D01032,Listed,05-Oct-2006,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1118,MADRASFERT,MADRASFERT,INE414A01015,Listed,25-Jul-1997,Fertilizers,NIFTY 500                                         ,Commodities,Chemicals,Fertilizers & Agrochemicals
1119,MAESGETF,MAESGETF,INF769K01GS9,Listed,24-Nov-2020,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1120,MAFANG,MAFANG,INF769K01HF4,Listed,14-May-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1121,MAFSETF,MAFSETF,INF769K01HI8,Listed,05-Aug-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1122,MAGADSUGAR,MAGADSUGAR,INE347W01011,Listed,28-Jul-2017,Sugar,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1123,MAGNUM,MAGNUM,INE387I01016,Listed,20-Sep-2007,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
1124,MAHABANK,MAHABANK,INE457A01014,Listed,12-Apr-2004,Public Sector Bank,NIFTY BANK                                        ,Financial Services,Financial Services,Banks
1125,MAHAPEXLTD,MAHAPEXLTD,INE843B01013,Listed,13-Sep-2000,Other Financial Services,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1126,MAHASTEEL,MAHASTEEL,INE451L01014,Listed,01-Jul-2016,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
1127,MAHEPC,MAHEPC,INE215D01010,Listed,14-Feb-2020,Industrial Equipments,NA,Industrials,Capital Goods,Industrial Manufacturing
1128,MAHESHWARI,MAHESHWARI,INE263W01010,Listed,15-Apr-2019,Diversified,NA,Diversified,Diversified,Diversified
1129,MAHICKRA,MAHICKRA,INE961Y01015,Listed,26-Apr-2018,Dyes And Pigments,NA,Commodities,Chemicals,Chemicals & Petrochemicals
1130,MAHINDCIE,MAHINDCIE,INE536H01010,Listed,30-Aug-2007,Auto Components & Equipments,NIFTY INFRASTRUCTURE                              ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1131,MAHKTECH,MAHKTECH,INF769K01HS7,Listed,10-Dec-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1132,MAHLIFE,MAHLIFE,INE813A01018,Listed,10-May-2000,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
1133,MAHLOG,MAHLOG,INE766P01016,Listed,10-Nov-2017,Logistics Solution Provider,NIFTY 500                                         ,Services,Services,Transport Services
1134,MAHSCOOTER,MAHSCOOTER,INE288A01013,Listed,08-Feb-1995,Investment Company,NIFTY AUTO                                        ,Financial Services,Financial Services,Finance
1135,MAHSEAMLES,MAHSEAMLES,INE271B01025,Listed,25-Aug-2004,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
1136,MAITHANALL,MAITHANALL,INE683C01011,Listed,05-Jul-2011,Ferro & Silica Manganese,NIFTY METAL                                       ,Commodities,Metals & Mining,Ferrous Metals
1137,MAKS,MAKS,INE0CDK01019,Listed,28-Sep-2022,Diesel Engines,NA,Industrials,Capital Goods,Industrial Products
1138,MALLCOM,MALLCOM,INE389C01015,Listed,02-Feb-2022,Other Industrial Products,NA,Industrials,Capital Goods,Industrial Products
1139,MALUPAPER,MALUPAPER,INE383H01017,Listed,05-Apr-2006,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
1140,MAM150ETF,MAM150ETF,INF769K01IC9,Listed,15-Mar-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1141,MAMFGETF,MAMFGETF,INF769K01IB1,Listed,02-Feb-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1142,MAN50ETF,MAN50ETF,INF769K01EG9,Listed,26-Nov-2018,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1143,MANAKALUCO,MANAKALUCO,INE859Q01017,Listed,30-Mar-2015,Aluminium,NIFTY METAL                                       ,Commodities,Metals & Mining,Non - Ferrous Metals
1144,MANAKCOAT,MANAKCOAT,INE830Q01018,Listed,30-Mar-2015,Iron & Steel Products,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1145,MANAKSIA,MANAKSIA,INE015D01022,Listed,08-Jan-2008,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
1146,MANAKSTEEL,MANAKSTEEL,INE824Q01011,Listed,30-Mar-2015,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
1147,MANALIPETC,MANALIPETC,INE201A01024,Listed,06-Dec-2006,Petrochemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
1148,MANAPPURAM,MANAPPURAM,INE522D01027,Listed,01-Dec-2014,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1149,MANAV,MANAV,INE104Y01012,Listed,18-Sep-2017,NA,NA,,,
1150,MANGALAM,MANGALAM,INE584F01014,Listed,23-May-2005,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1151,MANGCHEFER,MANGCHEFER,INE558B01017,Listed,22-Oct-2007,Fertilizers,NIFTY 500                                         ,Commodities,Chemicals,Fertilizers & Agrochemicals
1152,MANGLMCEM,MANGLMCEM,INE347A01017,Listed,03-Jan-1996,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
1153,MANINDS,MANINDS,INE993A01026,Listed,24-Jun-2005,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
1154,MANINFRA,MANINFRA,INE949H01023,Listed,11-Mar-2010,Engineering Designing & Construction,NIFTY 500                                         ,Industrials,Construction,Construction
1155,MANORAMA,MANORAMA,INE00VM01010,Listed,01-Jul-2022,Other Food Products,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
1156,MANORG,MANORG,INE370D01013,Listed,02-Nov-2021,Commodity Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
1157,MANUGRAPH,MANUGRAPH,INE867A01022,Listed,14-Sep-2006,Industrial Equipments,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Manufacturing
1158,MANXT50,MANXT50,INF769K01FN2,Listed,31-Jan-2020,NA,NA,,,
1159,MANYAVAR,MANYAVAR,INE825V01034,Listed,16-Feb-2022,Speciality Retail,NA,Consumer Discretionary,Consumer Services,Retailing
1160,MAPMYINDIA,MAPMYINDIA,INE0BV301023,Listed,21-Dec-2021,Software Products,NA,Information Technology,Information Technology,IT - Software
1161,MARALOVER,MARALOVER,INE882A01013,Listed,08-Feb-1995,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1162,MARATHON,MARATHON,INE182D01020,Listed,29-Sep-2016,Residential Commercial Projects,NIFTY REALTY                                      ,Consumer Discretionary,Realty,Realty
1163,MARICO,MARICO,INE196A01026,Listed,01-May-1996,Personal Care,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products
1164,MARINE,MARINE,INE01JE01028,Listed,02-Dec-2020,Industrial Electronics,NA,Industrials,Capital Goods,Industrial Manufacturing
1165,MARKSANS,MARKSANS,INE750C01026,Listed,21-Jan-2002,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1166,MARSHALL,MARSHALL,INE00SZ01018,Listed,22-Nov-2021,Industrial Equipments,NA,Industrials,Capital Goods,Industrial Manufacturing
1167,MARUTI,MARUTI,INE585B01010,Listed,09-Jul-2003,Passenger Cars & Utility Vehicles,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Automobiles
1168,MASFIN,MASFIN,INE348L01012,Listed,18-Oct-2017,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1169,MASKINVEST,MASKINVEST,INE885F01015,Listed,14-Oct-2016,Investment Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1170,MASPTOP50,MASPTOP50,INF769K01HP3,Listed,24-Sep-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1171,MASTEK,MASTEK,INE759A01021,Listed,10-May-1995,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
1172,MATRIMONY,MATRIMONY,INE866R01028,Listed,21-Sep-2017,Internet & Catalogue Retail,NIFTY IT                                          ,Consumer Discretionary,Consumer Services,Retailing
1173,MAWANASUG,MAWANASUG,INE636A01039,Listed,20-Mar-2009,Sugar,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1174,MAXHEALTH,MAXHEALTH,INE027H01010,Listed,21-Aug-2020,Hospital,NA,Healthcare,Healthcare,Healthcare Services
1175,MAXIND,MAXIND,INE0CG601016,Listed,28-Aug-2020,Holding Company,NA,Financial Services,Financial Services,Finance
1176,MAXVIL,MAXVIL,INE154U01015,Listed,22-Jun-2016,Holding Company,NIFTY 500                                         ,Financial Services,Financial Services,Finance
1177,MAYURUNIQ,MAYURUNIQ,INE040D01038,Listed,25-Sep-2012,Leather And Leather Products,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1178,MAZDA,MAZDA,INE885E01034,Listed,01-Nov-2016,Industrial Equipments,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Manufacturing
1179,MAZDOCK,MAZDOCK,INE249Z01012,Listed,12-Oct-2020,Ship Building & Allied Services,NA,Industrials,Capital Goods,Industrial Manufacturing
1180,MBAPL,MBAPL,INE900L01010,Listed,22-Aug-2019,Fertilizers,NA,Commodities,Chemicals,Fertilizers & Agrochemicals
1181,MBECL,MBECL,INE748A01016,Listed,06-Oct-2006,Engineering Designing & Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1182,MBLINFRA,MBLINFRA,INE912H01013,Listed,11-Jan-2010,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1183,MCDOWELL-N,MCDOWELL-N,INE854D01024,Listed,27-Sep-2001,Breweries & Distilleries,NIFTY 500                                         ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages
1184,MCL,MCL,INE813V01022,Listed,19-Aug-2020,Aluminium Copper & Zinc Products,NA,Industrials,Capital Goods,Industrial Products
1185,MCLEODRUSS,MCLEODRUSS,INE942G01012,Listed,29-Jul-2005,Tea & Coffee,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1186,MCX,MCX,INE745G01035,Permitted to trade,09-Mar-2012,Exchange and Data Platform,NA,Financial Services,Financial Services,Capital Markets
1187,MEDICAMEQ,MEDICAMEQ,INE646B01010,Listed,27-Oct-2021,Pharmaceuticals,NA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1188,MEDICO,MEDICO,INE630Y01016,Listed,26-May-2022,Pharmaceuticals,NA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1189,MEDPLUS,MEDPLUS,INE804L01022,Listed,23-Dec-2021,Pharmacy Retail,NA,Consumer Discretionary,Consumer Services,Retailing
1190,MEGAFLEX,MEGAFLEX,INE0G1D01014,Listed,19-Sep-2022,Packaging,NA,Industrials,Capital Goods,Industrial Products
1191,MEGASOFT,MEGASOFT,INE933B01012,Listed,19-Jul-2007,Other Telecom Services,NIFTY IT                                          ,Telecommunication,Telecommunication,Telecom - Services
1192,MEGASTAR,MEGASTAR,INE00EM01016,Listed,16-Feb-2022,Other Food Products,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
1193,MELSTAR,MELSTAR,INE817A01019,Listed,07-Mar-2000,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
1194,MENONBE,MENONBE,INE071D01033,Listed,09-Mar-2015,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1195,MEP,MEP,INE776I01010,Listed,06-May-2015,Toll Bridge Operator,NIFTY INFRASTRUCTURE                              ,Services,Services,Transport Infrastructure
1196,MERCATOR,MERCATOR,INE934B01028,Listed,20-Jun-2005,Coal,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Consumable Fuels
1197,METALFORGE,METALFORGE,INE425A01011,Listed,23-Aug-1995,Castings & Forgings,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1198,METROBRAND,METROBRAND,INE317I01021,Listed,22-Dec-2021,Footwear,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
1199,METROPOLIS,METROPOLIS,INE112L01020,Listed,15-Apr-2019,Healthcare Service Provider,NA,Healthcare,Healthcare,Healthcare Services
1200,MFL,MFL,INE071N01016,Listed,18-Aug-2021,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
1201,MFSL,MFSL,INE180A01020,Listed,17-May-2000,Life Insurance,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Insurance
1202,MGEL,MGEL,INE0APB01024,Listed,23-Dec-2020,Other Agricultural Products,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1203,MGL,MGL,INE002S01010,Listed,01-Jul-2016,LPG/CNG/PNG/LNG Supplier,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Gas
1204,MHHL,MHHL,INE450S01011,Listed,16-Feb-2018,Medical Equipment & Supplies,NA,Healthcare,Healthcare,Healthcare Equipment & Supplies
1205,MHLXMIRU,MHLXMIRU,INE112D01035,Listed,27-Jan-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
1206,MHRIL,MHRIL,INE998I01010,Listed,16-Jul-2009,Hotels & Resorts,NIFTY SERVICES SECTOR                             ,Consumer Discretionary,Consumer Services,Leisure Services
1207,MICEL,MICEL,INE287C01037,Listed,17-Dec-2021,Industrial Electronics,NA,Industrials,Capital Goods,Industrial Manufacturing
1208,MID150BEES,MID150BEES,INF204KB1V68,Listed,04-Feb-2019,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1209,MIDHANI,MIDHANI,INE099Z01011,Listed,04-Apr-2018,Aerospace & Defense,NIFTY METAL                                       ,Industrials,Capital Goods,Aerospace & Defense
1210,MINDACORP,MINDACORP,INE842C01021,Listed,16-Oct-2014,Auto Components & Equipments,NIFTY 500                                         ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1211,MINDSPACE,MINDSPACE,INE0CCU25019,Listed,07-Aug-2020,Real Estate Investment Trusts (REITs),NA,Consumer Discretionary,Realty,Realty
1212,MINDTECK,MINDTECK,INE110B01017,Listed,02-Aug-2016,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
1213,MINDTREE,MINDTREE,INE018I01017,Listed,07-Mar-2007,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
1214,MIRCELECTR,MIRCELECTR,INE831A01028,Listed,24-May-2004,Consumer Electronics,NIFTY INDIA CONSUMPTION                           ,Consumer Discretionary,Consumer Durables,Consumer Durables
1215,MIRZAINT,MIRZAINT,INE771A01026,Listed,28-Apr-1999,Leather And Leather Products,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1216,MITCON,MITCON,INE828O01033,Listed,17-Mar-2022,Consulting Services,NA,Services,Services,Commercial Services & Supplies
1217,MITTAL,MITTAL,INE997Y01019,Listed,29-Apr-2020,Garments & Apparels,NA,Consumer Discretionary,Textiles,Textiles & Apparels
1218,MKPL,MKPL,INE964W01013,Listed,18-Apr-2017,Edible Oil,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1219,MMFL,MMFL,INE227C01017,Listed,20-Dec-2006,Castings & Forgings,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1220,MMP,MMP,INE511Y01018,Listed,09-Jan-2020,Aluminium,NA,Commodities,Metals & Mining,Non - Ferrous Metals
1221,MMTC,MMTC,INE123F01029,Listed,09-Apr-2012,Trading & Distributors,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
1222,MODIRUBBER,MODIRUBBER,INE832A01018,Listed,11-Nov-1999,Tyres & Rubber Products,NIFTY 500                                         ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1223,MODISONLTD,MODISONLTD,INE737D01021,Listed,03-May-2021,Other Electrical Equipment,NA,Industrials,Capital Goods,Electrical Equipment
1224,MOGSEC,MOGSEC,INF247L01AK4,Listed,16-Dec-2020,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1225,MOHEALTH,MOHEALTH,INF247L01BB1,Listed,04-Aug-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1226,MOHITIND,MOHITIND,INE954E01012,Listed,14-Mar-2013,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1227,MOIL,MOIL,INE490G01020,Listed,15-Dec-2010,Industrial Minerals,NIFTY METAL                                       ,Commodities,Metals & Mining,Minerals & Mining
1228,MOKSH,MOKSH,INE514Y01020,Listed,21-May-2021,Gems Jewellery And Watches,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
1229,MOL,MOL,INE0CT101020,Listed,18-Aug-2021,Pesticides & Agrochemicals,NA,Commodities,Chemicals,Fertilizers & Agrochemicals
1230,MOLDTECH,MOLDTECH,INE835B01035,Listed,07-Jul-2016,IT Enabled Services,NIFTY 500                                         ,Information Technology,Information Technology,IT - Services
1231,MOLDTKPAC,MOLDTKPAC,INE893J01029,Listed,23-Feb-2015,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1232,MOLOWVOL,MOLOWVOL,INF247L01BL0,Listed,30-Mar-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1233,MOM100,MOM100,INF247L01023,Listed,04-Feb-2011,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1234,MOM50,MOM50,INF247L01536,Listed,30-Jul-2010,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1235,MOMENTUM,MOMENTUM,INF209KB14K7,Listed,19-Aug-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1236,MOMOMENTUM,MOMOMENTUM,INF247L01BK2,Listed,17-Feb-2022,NA,NA,,,
1237,MON100,MON100,INF247L01AP3,Listed,31-Mar-2011,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1238,MONARCH,MONARCH,INE903D01011,Listed,06-Jan-2022,Stockbroking & Allied,NA,Financial Services,Financial Services,Capital Markets
1239,MONQ50,MONQ50,INF247L01AU3,Listed,29-Dec-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1240,MONTECARLO,MONTECARLO,INE950M01013,Listed,19-Dec-2014,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1241,MOQUALITY,MOQUALITY,INF247L01BH8,Listed,26-Aug-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1242,MORARJEE,MORARJEE,INE161G01027,Listed,14-Sep-2012,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1243,MOREPENLAB,MOREPENLAB,INE083A01026,Listed,24-Nov-1999,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1244,MOTHERSON,MOTHERSON,INE775A01035,Listed,14-Aug-1996,Auto Components & Equipments,NA,Consumer Discretionary,Automobile and Auto Components,Auto Components
1245,MOTILALOFS,MOTILALOFS,INE338I01027,Listed,11-Sep-2007,Stockbroking & Allied,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Capital Markets
